episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food
23,AStar,Maze1_easy.txt,2000,530,53,0,24.705,101,0,1.0,37.74
24,AStar,Maze1_easy.txt,2000,630,63,0,20.9315,119,0,1.0,31.75
25,AStar,Maze1_easy.txt,2000,480,48,0,25.003,91,0,1.0,41.67
26,AStar,Maze1_easy.txt,2000,540,54,0,23.3555,102,0,1.0,37.04
27,AStar,Maze1_easy.txt,2000,600,60,0,21.1795,109,0,1.0,33.33
28,AStar,Maze1_easy.txt,2000,490,49,0,24.6795,95,0,1.0,40.82
29,AStar,Maze1_easy.txt,2000,530,53,0,23.5475,97,0,1.0,37.74
30,AStar,Maze1_easy.txt,2000,580,58,0,21.6325,109,0,1.0,34.48
31,AStar,Maze1_easy.txt,2000,530,53,0,23.473,100,0,1.0,37.74
32,AStar,Maze1_easy.txt,2000,550,55,0,22.865,108,0,1.0,36.36
33,AStar,Maze1_easy.txt,2000,490,49,0,24.2705,90,0,1.0,40.82
34,AStar,Maze1_easy.txt,2000,490,49,0,23.901,94,0,1.0,40.82
35,AStar,Maze1_easy.txt,2000,600,60,0,20.8,111,0,1.0,33.33
36,AStar,Maze1_easy.txt,2000,520,52,0,24.89,100,0,1.0,38.46
37,AStar,Maze1_easy.txt,2000,530,53,0,23.844,98,0,1.0,37.74
38,AStar,Maze1_easy.txt,2000,560,56,0,21.8585,104,0,1.0,35.71
39,AStar,Maze1_easy.txt,2000,530,53,0,24.9725,97,0,1.0,37.74
40,AStar,Maze1_easy.txt,2000,540,54,0,24.14,103,0,1.0,37.04
41,AStar,Maze1_easy.txt,2000,530,53,0,22.7505,97,0,1.0,37.74
42,AStar,Maze1_easy.txt,2000,540,54,0,23.368,100,0,1.0,37.04
43,AStar,Maze1_easy.txt,2000,530,53,0,23.222,96,0,1.0,37.74
44,AStar,Maze1_easy.txt,2000,480,48,0,24.673,93,0,1.0,41.67
45,AStar,Maze1_easy.txt,2000,550,55,0,24.634,98,0,1.0,36.36
46,AStar,Maze1_easy.txt,2000,580,58,0,22.335,108,0,1.0,34.48
47,AStar,Maze1_easy.txt,2000,570,57,0,24.546,99,0,1.0,35.09
48,AStar,Maze1_easy.txt,2000,550,55,0,23.8385,104,0,1.0,36.36
49,AStar,Maze1_easy.txt,2000,480,48,0,25.101,91,0,1.0,41.67
50,AStar,Maze1_easy.txt,2000,540,54,0,23.464,102,0,1.0,37.04
51,AStar,Maze1_easy.txt,2000,500,50,0,24.9795,95,0,1.0,40.0
52,AStar,Maze1_easy.txt,2000,550,55,0,22.437,102,0,1.0,36.36
53,AStar,Maze1_easy.txt,2000,520,52,0,25.145,96,0,1.0,38.46
54,AStar,Maze1_easy.txt,2000,590,59,0,22.352,107,0,1.0,33.9
55,AStar,Maze1_easy.txt,2000,560,56,0,22.1545,104,0,1.0,35.71
56,AStar,Maze1_easy.txt,2000,560,56,0,22.6205,108,0,1.0,35.71
57,AStar,Maze1_easy.txt,2000,580,58,0,21.142,111,0,1.0,34.48
58,AStar,Maze1_easy.txt,2000,610,61,0,20.8505,108,0,1.0,32.79
59,AStar,Maze1_easy.txt,2000,630,63,0,21.476,112,0,1.0,31.75
60,AStar,Maze1_easy.txt,2000,620,62,0,20.7755,118,0,1.0,32.26
61,AStar,Maze1_easy.txt,2000,560,56,0,21.953,108,0,1.0,35.71
62,AStar,Maze1_easy.txt,2000,600,60,0,21.4115,113,0,1.0,33.33
63,AStar,Maze1_easy.txt,2000,590,59,0,22.764,104,0,1.0,33.9
64,AStar,Maze1_easy.txt,2000,540,54,0,23.3225,102,0,1.0,37.04
65,AStar,Maze1_easy.txt,2000,560,56,0,22.955,104,0,1.0,35.71
66,AStar,Maze1_easy.txt,2000,590,59,0,21.607,113,0,1.0,33.9
67,AStar,Maze1_easy.txt,2000,540,54,0,22.5975,102,0,1.0,37.04
68,AStar,Maze1_easy.txt,2000,640,64,0,21.303,117,0,1.0,31.25
69,AStar,Maze1_easy.txt,2000,600,60,0,21.229,110,0,1.0,33.33
70,AStar,Maze1_easy.txt,2000,560,56,0,23.7945,105,0,1.0,35.71
71,AStar,Maze1_easy.txt,2000,560,56,0,22.842,107,0,1.0,35.71
72,AStar,Maze1_easy.txt,1066,300,30,0,21.8696,52,0,1.0,35.53
73,AStar,Maze1_easy.txt,2000,500,50,0,24.6695,97,0,1.0,40.0
74,AStar,Maze1_easy.txt,2000,550,55,0,23.54,104,0,1.0,36.36
75,AStar,Maze1_easy.txt,2000,500,50,0,24.455,91,0,1.0,40.0
76,AStar,Maze1_easy.txt,2000,540,54,0,22.8375,100,0,1.0,37.04
77,AStar,Maze1_easy.txt,2000,620,62,0,20.1625,112,0,1.0,32.26
78,AStar,Maze1_easy.txt,2000,490,49,0,24.2415,94,0,1.0,40.82
79,AStar,Maze1_easy.txt,579,160,16,0,24.734,30,0,1.0,36.19
80,AStar,Maze1_easy.txt,2000,620,62,0,20.412,114,0,1.0,32.26
81,AStar,Maze1_easy.txt,2000,540,54,0,23.845,100,0,1.0,37.04
82,AStar,Maze1_easy.txt,2000,610,61,0,21.5355,117,0,1.0,32.79
83,AStar,Maze1_easy.txt,2000,610,61,0,20.6165,114,0,1.0,32.79
84,AStar,Maze1_easy.txt,2000,610,61,0,20.6395,112,0,1.0,32.79
85,AStar,Maze1_easy.txt,2000,500,50,0,23.359,89,0,1.0,40.0
86,AStar,Maze1_easy.txt,2000,540,54,0,24.6055,93,0,1.0,37.04
87,AStar,Maze1_easy.txt,2000,560,56,0,22.8355,101,0,1.0,35.71
88,AStar,Maze1_easy.txt,2000,540,54,0,22.9325,99,0,1.0,37.04
89,AStar,Maze1_easy.txt,2000,590,59,0,21.4585,105,0,1.0,33.9
90,AStar,Maze1_easy.txt,2000,570,57,0,21.469,103,0,1.0,35.09
91,AStar,Maze1_easy.txt,2000,570,57,0,23.1715,108,0,1.0,35.09
92,AStar,Maze1_easy.txt,2000,530,53,0,23.4875,100,0,1.0,37.74
93,AStar,Maze1_easy.txt,2000,600,60,0,22.5735,109,0,1.0,33.33
94,AStar,Maze1_easy.txt,2000,560,56,0,22.9085,105,0,1.0,35.71
95,AStar,Maze1_easy.txt,2000,530,53,0,23.497,96,0,1.0,37.74
96,AStar,Maze1_easy.txt,2000,550,55,0,22.2305,102,0,1.0,36.36
97,AStar,Maze1_easy.txt,2000,570,57,0,22.844,106,0,1.0,35.09
98,AStar,Maze1_easy.txt,2000,630,63,0,19.628,121,0,1.0,31.75
99,AStar,Maze1_easy.txt,2000,570,57,0,22.4735,108,0,1.0,35.09
100,AStar,Maze1_easy.txt,2000,620,62,0,22.21,118,0,1.0,32.26
101,AStar,Maze1_easy.txt,2000,520,52,0,23.1645,99,0,1.0,38.46
