episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,cluster,tsne_x,tsne_y
141,AStar,Maze1_easy.txt,2000,510,51,0,25.116,96,0,1.0,39.22,0,-18.14074,-49.595463
142,AStar,Maze1_easy.txt,2000,460,46,0,25.4335,87,0,1.0,43.48,0,-30.444614,-42.143196
143,AStar,Maze1_easy.txt,2000,490,49,0,25.571,93,0,1.0,40.82,0,-27.58083,-46.02917
144,AStar,Maze1_easy.txt,2000,610,61,0,22.267,114,0,1.0,32.79,0,58.353615,-46.166035
145,AStar,Maze1_easy.txt,2000,560,56,0,22.8085,98,0,1.0,35.71,0,21.398287,-54.397327
146,AStar,Maze1_easy.txt,2000,550,55,0,23.367,106,0,1.0,36.36,0,12.286377,-51.964622
147,AStar,Maze1_easy.txt,2000,540,54,0,22.4705,97,0,1.0,37.04,0,13.337991,-72.75297
148,AStar,Maze1_easy.txt,2000,530,53,0,24.4065,102,0,1.0,37.74,0,-7.693961,-52.006203
149,AStar,Maze1_easy.txt,2000,570,57,0,21.7625,107,0,1.0,35.09,0,37.22405,-61.30205
150,AStar,Maze1_easy.txt,2000,550,55,0,23.693,104,0,1.0,36.36,0,8.36134,-51.08835
151,AStar,Maze1_easy.txt,2000,630,63,0,21.034,114,0,1.0,31.75,0,66.769936,-47.374287
152,AStar,Maze1_easy.txt,2000,580,58,0,23.126,109,0,1.0,34.48,0,37.65335,-45.731724
153,AStar,Maze1_easy.txt,2000,510,51,0,23.755,98,0,1.0,39.22,0,-15.007927,-61.563663
154,AStar,Maze1_easy.txt,2000,570,57,0,22.1635,108,0,1.0,35.09,0,31.529161,-53.935658
155,AStar,Maze1_easy.txt,2000,500,50,0,23.5795,95,0,1.0,40.0,0,-16.369312,-63.514004
156,AStar,Maze1_easy.txt,2000,530,53,0,25.2925,98,0,1.0,37.74,0,-9.534887,-48.406483
157,AStar,Maze1_easy.txt,2000,560,56,0,22.8195,100,0,1.0,35.71,0,21.40786,-53.68607
158,AStar,Maze1_easy.txt,2000,540,54,0,22.4665,101,0,1.0,37.04,0,14.007656,-69.85547
159,AStar,Maze1_easy.txt,2000,510,51,0,25.1055,99,0,1.0,39.22,0,-19.725338,-51.692673
160,AStar,Maze1_easy.txt,2000,610,61,0,21.7275,115,0,1.0,32.79,0,59.87395,-46.855934
